index,real,predict
2010东城区,91.9563849,86.8486250988
2010丰台区,211.2876236,174.692080422
2010大兴区,136.5573618,118.638236837
2010密云县,46.78381478,32.471504417
2010平谷区,41.60986578,28.6976174422
2010延庆县,31.75333389,35.334915971
2010怀柔区,37.30130932,35.6623604884
2010房山区,94.51514987,73.8984993547
2010昌平区,166.1062505,134.253680773
2010朝阳区,354.6335802,333.475858539
2010海淀区,328.1779372,307.06312089
2010石景山区,61.62913309,49.4769989409
2010西城区,124.3735432,104.711486025
2010通州区,118.4656461,86.6733268692
2010门头沟区,29.05742256,28.1727019599
2010顺义区,87.69164325,90.1360372375
2015东城区,90.5,100.605317791
2015丰台区,232.4,216.242333318
2015大兴区,156.2,171.201478256
2015密云县,47.9,54.0985670695
2015平谷区,42.3,36.2989666084
2015延庆县,31.4,48.8977883054
2015怀柔区,38.4,60.1043544829
2015房山区,104.6,121.63637311
2015昌平区,196.3,177.58100749
2015朝阳区,395.5,390.074086489
2015海淀区,369.4,368.25430861
2015石景山区,65.2,57.2710515208
2015西城区,129.8,122.055511847
2015通州区,137.8,129.521800034
2015门头沟区,30.8,45.2776699011
2015顺义区,102.0,118.893434872
2005东城区,86.15852703,84.6344919813
2005丰台区,156.9531209,173.753374441
2005大兴区,88.26730217,112.83460757
2005密云县,43.78218856,32.1152510349
2005平谷区,41.17132411,27.1524322447
2005延庆县,27.81574824,33.3557280261
2005怀柔区,31.93288065,35.0722435752
2005房山区,86.76103421,67.1693550692
2005昌平区,78.2255158,127.016024682
2005朝阳区,280.7683468,329.643881767
2005海淀区,259.0780883,303.597341314
2005石景山区,52.41812484,48.1692410986
2005西城区,119.4972578,102.525944831
2005通州区,86.56019849,82.2199354434
2005门头沟区,27.71533037,26.6309343573
2005顺义区,70.89501175,85.133607286
